,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
99,SILVER - COMMODITY EXCHANGE INC.,2015-02-03,168486,64166,13593,    6046,   -1556,    1218
100,SILVER - COMMODITY EXCHANGE INC.,2015-01-27,162440,65722,12375,    2536,    3519,   -3554
101,SILVER - COMMODITY EXCHANGE INC.,2015-01-20,159904,62203,15929,    2622,    2395,   -3940
102,SILVER - COMMODITY EXCHANGE INC.,2015-01-13,157282,59808,19869,    4403,    4897,   -3003
103,SILVER - COMMODITY EXCHANGE INC.,2015-01-06,152879,54911,22872,    3285,     785,   -1232
104,SILVER - COMMODITY EXCHANGE INC.,2014-12-30,149594,54126,24104,     445,    2069,   -1640
105,SILVER - COMMODITY EXCHANGE INC.,2014-12-23,149149,52057,25744,   -1050,    -864,    -688
106,SILVER - COMMODITY EXCHANGE INC.,2014-12-16,150199,52921,26432,    2004,     792,    2762
107,SILVER - COMMODITY EXCHANGE INC.,2014-12-09,148195,52129,23670,    -227,    1443,   -5425
108,SILVER - COMMODITY EXCHANGE INC.,2014-12-02,148422,50686,29095,   -8562,   -2197,   -8332
109,SILVER - COMMODITY EXCHANGE INC.,2014-11-25,156984,52883,37427,  -16091,   -3948,   -7650
110,SILVER - COMMODITY EXCHANGE INC.,2014-11-18,173075,56831,45077,    2391,    -634,   -1956
111,SILVER - COMMODITY EXCHANGE INC.,2014-11-11,170684,57465,47033,   -5779,    -623,   -4113
112,SILVER - COMMODITY EXCHANGE INC.,2014-11-04,176463,58088,51146,    2730,     619,    -391
113,SILVER - COMMODITY EXCHANGE INC.,2014-10-28,173733,57469,51537,    3541,     233,    1132
114,SILVER - COMMODITY EXCHANGE INC.,2014-10-21,170192,57236,50405,     863,    -952,     -46
115,SILVER - COMMODITY EXCHANGE INC.,2014-10-14,169329,58188,50451,   -1954,    -338,     867
116,SILVER - COMMODITY EXCHANGE INC.,2014-10-07,171283,58526,49584,   -1939,    -204,   -2520
117,SILVER - COMMODITY EXCHANGE INC.,2014-09-30,173222,58730,52104,    2829,    3128,    5324
118,SILVER - COMMODITY EXCHANGE INC.,2014-09-23,170393,55602,46780,    -867,   -2934,    -844
119,SILVER - COMMODITY EXCHANGE INC.,2014-09-16,171260,58536,47624,    5979,    -374,    5251
120,SILVER - COMMODITY EXCHANGE INC.,2014-09-09,165281,58910,42373,    2974,    -562,    2456
121,SILVER - COMMODITY EXCHANGE INC.,2014-09-02,162307,59472,39917,   -1955,    3927,    6896
122,SILVER - COMMODITY EXCHANGE INC.,2014-08-26,164262,55545,33021,    -631,    1868,    3495
123,SILVER - COMMODITY EXCHANGE INC.,2014-08-19,164893,53677,29526,    6674,    -265,    5281
124,SILVER - COMMODITY EXCHANGE INC.,2014-08-12,158219,53942,24245,     641,    -223,    4443
125,SILVER - COMMODITY EXCHANGE INC.,2014-08-05,157578,54165,19802,    -980,   -4865,    4884
126,SILVER - COMMODITY EXCHANGE INC.,2014-07-29,158558,59030,14918,   -3927,   -5247,   -1834
127,SILVER - COMMODITY EXCHANGE INC.,2014-07-22,162485,64277,16752,      38,   -1630,     123
128,SILVER - COMMODITY EXCHANGE INC.,2014-07-15,162447,65907,16629,    -432,   -1122,   -2519
129,SILVER - COMMODITY EXCHANGE INC.,2014-07-08,162879,67029,19148,    6181,    6637,    -945
130,SILVER - COMMODITY EXCHANGE INC.,2014-07-01,156698,60392,20093,   -1395,    6232,   -4737
131,SILVER - COMMODITY EXCHANGE INC.,2014-06-24,158093,54160,24830,   -6483,    5827,  -10166
132,SILVER - COMMODITY EXCHANGE INC.,2014-06-17,164576,48333,34996,    3044,    -259,   -9490
133,SILVER - COMMODITY EXCHANGE INC.,2014-06-10,161532,48592,44486,     470,   -1186,   -4526
134,SILVER - COMMODITY EXCHANGE INC.,2014-06-03,161062,49778,49012,    4743,    1652,    5974
135,SILVER - COMMODITY EXCHANGE INC.,2014-05-27,156319,48126,43038,    6155,    2159,    5147
136,SILVER - COMMODITY EXCHANGE INC.,2014-05-20,150164,45967,37891,     242,    -658,    2803
137,SILVER - COMMODITY EXCHANGE INC.,2014-05-13,149922,46625,35088,     427,     853,    -305
138,SILVER - COMMODITY EXCHANGE INC.,2014-05-06,149495,45772,35393,     154,    -331,    1341
139,SILVER - COMMODITY EXCHANGE INC.,2014-04-29,149341,46103,34052,   -8346,     235,    2301
140,SILVER - COMMODITY EXCHANGE INC.,2014-04-22,157687,45868,31751,   -6471,     -89,   -1107
141,SILVER - COMMODITY EXCHANGE INC.,2014-04-15,164158,45957,32858,    4842,     915,    4078
142,SILVER - COMMODITY EXCHANGE INC.,2014-04-08,159316,45042,28780,    8955,     897,    -861
143,SILVER - COMMODITY EXCHANGE INC.,2014-04-01,150361,44145,29641,    2764,   -1355,    3154
144,SILVER - COMMODITY EXCHANGE INC.,2014-03-25,147597,45500,26487,    3019,     756,    6115
145,SILVER - COMMODITY EXCHANGE INC.,2014-03-18,144578,44744,20372,    7953,     858,    3150
146,SILVER - COMMODITY EXCHANGE INC.,2014-03-11,136625,43886,17222,    3075,    -411,     834
147,SILVER - COMMODITY EXCHANGE INC.,2014-03-04,133550,44297,16388,  -10755,    -551,     477
148,SILVER - COMMODITY EXCHANGE INC.,2014-02-25,144305,44848,15911,   -2730,    4342,   -1060
149,SILVER - COMMODITY EXCHANGE INC.,2014-02-18,147035,40506,16971,    -953,    -773,  -11674
150,SILVER - COMMODITY EXCHANGE INC.,2014-02-11,147988,41279,28645,   -1175,     -42,   -5688
151,SILVER - COMMODITY EXCHANGE INC.,2014-02-04,149163,41321,34333,    4919,     505,    4009
152,SILVER - COMMODITY EXCHANGE INC.,2014-01-28,144244,40816,30324,    4776,   -1518,    3858
153,SILVER - COMMODITY EXCHANGE INC.,2014-01-21,139468,42334,26466,    3310,    1047,    1668
154,SILVER - COMMODITY EXCHANGE INC.,2014-01-14,136158,41287,24798,    4864,       2,     848
155,SILVER - COMMODITY EXCHANGE INC.,2014-01-07,131294,41285,23950,   -1181,    -798,   -3452
156,SILVER - COMMODITY EXCHANGE INC.,2013-12-31,132475,42083,27402,     -26,     -14,   -2597
157,SILVER - COMMODITY EXCHANGE INC.,2013-12-24,132501,42097,29999,    -805,     181,    -369
158,SILVER - COMMODITY EXCHANGE INC.,2013-12-17,133306,41916,30368,     220,    -635,   -2230
159,SILVER - COMMODITY EXCHANGE INC.,2013-12-10,133086,42551,32598,     -23,    2113,   -4939
160,SILVER - COMMODITY EXCHANGE INC.,2013-12-03,133109,40438,37537,    -178,    1168,    4889
161,SILVER - COMMODITY EXCHANGE INC.,2013-11-26,133287,39270,32648,   -5522,     684,    4093
162,SILVER - COMMODITY EXCHANGE INC.,2013-11-19,138809,38586,28555,    9284,    1206,    4211
163,SILVER - COMMODITY EXCHANGE INC.,2013-11-12,129525,37380,24344,   10807,    1246,    7113
164,SILVER - COMMODITY EXCHANGE INC.,2013-11-05,118718,36134,17231,     784,    -540,    -994
165,SILVER - COMMODITY EXCHANGE INC.,2013-10-29,117934,36674,18225,    1167,     968,     727
166,SILVER - COMMODITY EXCHANGE INC.,2013-10-22,116767,35706,17498,     560,    2338,   -1102
167,SILVER - COMMODITY EXCHANGE INC.,2013-10-15,116207,33368,18600,     109,    1481,    1719
168,SILVER - COMMODITY EXCHANGE INC.,2013-10-08,116098,31887,16881,     860,     652,   -1579
169,SILVER - COMMODITY EXCHANGE INC.,2013-10-01,115238,31235,18460,    2921,    1878,    1755
170,SILVER - COMMODITY EXCHANGE INC.,2013-09-24,112317,29357,16705,    -440,   -1532,    -378
171,SILVER - COMMODITY EXCHANGE INC.,2013-09-17,112757,30889,17083,     481,   -1755,     273
172,SILVER - COMMODITY EXCHANGE INC.,2013-09-10,112276,32644,16810,   -3368,   -1972,    1041
173,SILVER - COMMODITY EXCHANGE INC.,2013-09-03,115644,34616,15769,   -6627,    1469,    -998
174,SILVER - COMMODITY EXCHANGE INC.,2013-08-27,122271,33147,16767,   -8805,   -4161,   -2033
175,SILVER - COMMODITY EXCHANGE INC.,2013-08-20,131076,37308,18800,   -4150,     363,   -5436
176,SILVER - COMMODITY EXCHANGE INC.,2013-08-13,135226,36945,24236,    3173,    2318,   -4924
177,SILVER - COMMODITY EXCHANGE INC.,2013-08-06,132053,34627,29160,    -778,   -1001,   -1493
178,SILVER - COMMODITY EXCHANGE INC.,2013-07-30,132831,35628,30653,    1083,     188,     894
179,SILVER - COMMODITY EXCHANGE INC.,2013-07-23,131748,35440,29759,   -1697,   -1335,    -381
180,SILVER - COMMODITY EXCHANGE INC.,2013-07-16,133445,36775,30140,    -406,     215,   -1399
181,SILVER - COMMODITY EXCHANGE INC.,2013-07-09,133851,36560,31539,   -2295,     385,      11
182,SILVER - COMMODITY EXCHANGE INC.,2013-07-02,136146,36175,31528,   -4493,    1670,   -2140
183,SILVER - COMMODITY EXCHANGE INC.,2013-06-25,140639,34505,33668,   -9252,    -969,    2098
184,SILVER - COMMODITY EXCHANGE INC.,2013-06-18,149891,35474,31570,    2716,     -35,    -236
185,SILVER - COMMODITY EXCHANGE INC.,2013-06-11,147175,35509,31806,    1441,     458,    2111
186,SILVER - COMMODITY EXCHANGE INC.,2013-06-04,145734,35051,29695,     435,     992,     227
187,SILVER - COMMODITY EXCHANGE INC.,2013-05-28,145299,34059,29468,   -3320,   -1474,    2750
188,SILVER - COMMODITY EXCHANGE INC.,2013-05-21,148619,35533,26718,    3953,    -157,    1822
189,SILVER - COMMODITY EXCHANGE INC.,2013-05-14,144666,35690,24896,     510,    -144,    2713
190,SILVER - COMMODITY EXCHANGE INC.,2013-05-07,144156,35834,22183,     679,     114,   -1347
191,SILVER - COMMODITY EXCHANGE INC.,2013-04-30,143477,35720,23530,  -15493,   -3097,    -286
192,SILVER - COMMODITY EXCHANGE INC.,2013-04-23,158970,38817,23816,    1668,    -884,    1713
193,SILVER - COMMODITY EXCHANGE INC.,2013-04-16,157302,39701,22103,   -4939,    1209,   -8474
194,SILVER - COMMODITY EXCHANGE INC.,2013-04-09,162241,38492,30577,    6486,     291,     522
195,SILVER - COMMODITY EXCHANGE INC.,2013-04-02,155755,38201,30055,    4187,     653,    3911
196,SILVER - COMMODITY EXCHANGE INC.,2013-03-26,151568,37548,26144,      47,   -1159,    2488
197,SILVER - COMMODITY EXCHANGE INC.,2013-03-19,151521,38707,23656,    3238,      70,    3127
198,SILVER - COMMODITY EXCHANGE INC.,2013-03-12,148283,38637,20529,    1183,     188,     683
199,SILVER - COMMODITY EXCHANGE INC.,2013-03-05,147100,38449,19846,    1475,     696,    3830
200,SILVER - COMMODITY EXCHANGE INC.,2013-02-26,145625,37753,16016,   -9728,   -1304,    3415
201,SILVER - COMMODITY EXCHANGE INC.,2013-02-19,155353,39057,12601,    2536,   -1148,    4468
202,SILVER - COMMODITY EXCHANGE INC.,2013-02-12,152817,40205,8133,    1305,   -2244,    1545
203,SILVER - COMMODITY EXCHANGE INC.,2013-02-05,151512,42449,6588,    2980,    -640,   -1697
204,SILVER - COMMODITY EXCHANGE INC.,2013-01-29,148532,43089,8285,    6253,    1807,   -1904
205,SILVER - COMMODITY EXCHANGE INC.,2013-01-22,142279,41282,10189,    1846,    2900,     379
206,SILVER - COMMODITY EXCHANGE INC.,2013-01-15,140433,38382,9810,    2891,    1125,     647
207,SILVER - COMMODITY EXCHANGE INC.,2013-01-08,137542,37257,9163,   -3947,   -1034,      59
208,SILVER - COMMODITY EXCHANGE INC.,2012-12-31,141489,38291,9104,     738,   -1329,     127
209,SILVER - COMMODITY EXCHANGE INC.,2012-12-24,140751,39620,8977,    -672,   -5269,      77
210,SILVER - COMMODITY EXCHANGE INC.,2012-12-18,141423,44889,8900,    -662,   -3659,    -148
211,SILVER - COMMODITY EXCHANGE INC.,2012-12-11,142085,48548,9048,     347,   -1656,     116
212,SILVER - COMMODITY EXCHANGE INC.,2012-12-04,141738,50204,8932,   -8989,    -880,    -877
213,SILVER - COMMODITY EXCHANGE INC.,2012-11-27,150727,51084,9809,     392,    3776,     462
214,SILVER - COMMODITY EXCHANGE INC.,2012-11-20,150335,47308,9347,    5768,    2123,   -1428
215,SILVER - COMMODITY EXCHANGE INC.,2012-11-13,144567,45185,10775,    5254,     955,     664
216,SILVER - COMMODITY EXCHANGE INC.,2012-11-06,139313,44230,10111,    1728,   -2552,    -454
217,SILVER - COMMODITY EXCHANGE INC.,2012-10-30,137585,46782,10565,   -3058,    -681,    1238
218,SILVER - COMMODITY EXCHANGE INC.,2012-10-23,140643,47463,9327,    -762,   -1578,     414
219,SILVER - COMMODITY EXCHANGE INC.,2012-10-16,141405,49041,8913,     979,    -357,    -660
220,SILVER - COMMODITY EXCHANGE INC.,2012-10-09,140426,49398,9573,    1309,    2162,     455
221,SILVER - COMMODITY EXCHANGE INC.,2012-10-02,139117,47236,9118,    5954,    2458,   -1650
222,SILVER - COMMODITY EXCHANGE INC.,2012-09-25,133163,44778,10768,    6131,    1573,     118
223,SILVER - COMMODITY EXCHANGE INC.,2012-09-18,127032,43205,10650,    5982,    1834,     761
224,SILVER - COMMODITY EXCHANGE INC.,2012-09-11,121050,41371,9889,    1546,    -912,      36
225,SILVER - COMMODITY EXCHANGE INC.,2012-09-04,119504,42283,9853,   -2273,    2575,   -1217
226,SILVER - COMMODITY EXCHANGE INC.,2012-08-28,121777,39708,11070,   -5999,    4062,   -3376
227,SILVER - COMMODITY EXCHANGE INC.,2012-08-21,127776,35646,14446,   -1217,    3329,   -2284
228,SILVER - COMMODITY EXCHANGE INC.,2012-08-14,128993,32317,16730,    4717,     896,   -1011
229,SILVER - COMMODITY EXCHANGE INC.,2012-08-07,124276,31421,17741,    2467,      27,    -617
230,SILVER - COMMODITY EXCHANGE INC.,2012-07-31,121809,31394,18358,   -1852,    1103,   -3774
231,SILVER - COMMODITY EXCHANGE INC.,2012-07-24,123661,30291,22132,    1842,    1860,    1357
232,SILVER - COMMODITY EXCHANGE INC.,2012-07-17,121819,28431,20775,   -2290,      -3,    1123
233,SILVER - COMMODITY EXCHANGE INC.,2012-07-10,124109,28434,19652,    1981,    -228,     696
234,SILVER - COMMODITY EXCHANGE INC.,2012-07-03,122128,28662,18956,   -4036,     300,   -3184
235,SILVER - COMMODITY EXCHANGE INC.,2012-06-26,126164,28362,22140,    3656,     595,    4475
236,SILVER - COMMODITY EXCHANGE INC.,2012-06-19,122508,27767,17665,     428,    1051,     558
237,SILVER - COMMODITY EXCHANGE INC.,2012-06-12,122080,26716,17107,    5271,   -1093,    -908
238,SILVER - COMMODITY EXCHANGE INC.,2012-06-05,116809,27809,18015,    2848,    1310,      74
239,SILVER - COMMODITY EXCHANGE INC.,2012-05-29,113961,26499,17941,     314,   -1519,     720
240,SILVER - COMMODITY EXCHANGE INC.,2012-05-22,113647,28018,17221,    -561,     767,    1444
241,SILVER - COMMODITY EXCHANGE INC.,2012-05-15,114208,27251,15777,     659,    -757,     332
242,SILVER - COMMODITY EXCHANGE INC.,2012-05-08,113549,28008,15445,    2687,    1153,    4174
243,SILVER - COMMODITY EXCHANGE INC.,2012-05-01,110862,26855,11271,  -11463,   -2058,   -1171
244,SILVER - COMMODITY EXCHANGE INC.,2012-04-24,122325,28913,12442,     877,     862,    2798
245,SILVER - COMMODITY EXCHANGE INC.,2012-04-17,121448,28051,9644,    6979,    -103,    -324
246,SILVER - COMMODITY EXCHANGE INC.,2012-04-10,114469,28154,9968,   -1965,   -1088,     781
247,SILVER - COMMODITY EXCHANGE INC.,2012-04-03,116434,29242,9187,    6575,    2345,     945
248,SILVER - COMMODITY EXCHANGE INC.,2012-03-27,109859,26897,8242,   -1563,   -1592,     922
249,SILVER - COMMODITY EXCHANGE INC.,2012-03-20,111422,28489,7320,    -308,      30,     677
250,SILVER - COMMODITY EXCHANGE INC.,2012-03-13,111730,28459,6643,     707,   -2176,    -800
251,SILVER - COMMODITY EXCHANGE INC.,2012-03-06,111023,30635,7443,   -4843,   -7377,    -566
252,SILVER - COMMODITY EXCHANGE INC.,2012-02-28,115866,38012,8009,    5283,    3193,    -145
253,SILVER - COMMODITY EXCHANGE INC.,2012-02-21,110583,34819,8154,    5711,    1959,     962
254,SILVER - COMMODITY EXCHANGE INC.,2012-02-14,104872,32860,7192,   -1136,     621,   -1460
255,SILVER - COMMODITY EXCHANGE INC.,2012-02-07,106008,32239,8652,    4261,    3774,    -722
256,SILVER - COMMODITY EXCHANGE INC.,2012-01-31,101747,28465,9374,   -1278,    1414,   -1560
257,SILVER - COMMODITY EXCHANGE INC.,2012-01-24,103025,27051,10934,    -643,     842,   -1882
258,SILVER - COMMODITY EXCHANGE INC.,2012-01-17,103668,26209,12816,    -677,       1,   -2321
259,SILVER - COMMODITY EXCHANGE INC.,2012-01-10,104345,26208,15137,   -2756,    -421,   -1854
260,SILVER - COMMODITY EXCHANGE INC.,2012-01-03,107101,26629,16991,    3108,    2603,    -180
261,SILVER - COMMODITY EXCHANGE INC.,2011-12-27,103993,24026,17171,    2828,    -276,     297
262,SILVER - COMMODITY EXCHANGE INC.,2011-12-20,101165,24302,16874,    2854,   -1270,    4969
263,SILVER - COMMODITY EXCHANGE INC.,2011-12-13,98311,25572,11905,    2627,    2361,    1324
264,SILVER - COMMODITY EXCHANGE INC.,2011-12-06,95684,23211,10581,   -3275,    -605,   -1141
265,SILVER - COMMODITY EXCHANGE INC.,2011-11-29,98959,23816,11722,   -9589,     239,     769
266,SILVER - COMMODITY EXCHANGE INC.,2011-11-22,108548,23577,10953,   -1965,   -2245,    -422
267,SILVER - COMMODITY EXCHANGE INC.,2011-11-15,110513,25822,11375,   -1328,    1408,     -99
268,SILVER - COMMODITY EXCHANGE INC.,2011-11-08,111841,24414,11474,    3166,     330,    -436
269,SILVER - COMMODITY EXCHANGE INC.,2011-11-01,108675,24084,11910,    1609,     424,    -728
270,SILVER - COMMODITY EXCHANGE INC.,2011-10-25,107066,23660,12638,    3709,     655,     -15
271,SILVER - COMMODITY EXCHANGE INC.,2011-10-18,103357,23005,12653,    3659,    -566,    1030
272,SILVER - COMMODITY EXCHANGE INC.,2011-10-11,99698,23571,11623,   -1404,    -288,    -336
273,SILVER - COMMODITY EXCHANGE INC.,2011-10-04,101102,23859,11959,    -912,   -1294,    2231
274,SILVER - COMMODITY EXCHANGE INC.,2011-09-27,102014,25153,9728,  -10089,   -8794,   -1681
275,SILVER - COMMODITY EXCHANGE INC.,2011-09-20,112103,33947,11409,    -623,   -2641,    1108
276,SILVER - COMMODITY EXCHANGE INC.,2011-09-13,112726,36588,10301,    -723,    -597,     323
277,SILVER - COMMODITY EXCHANGE INC.,2011-09-06,113449,37185,9978,    1074,     648,     284
278,SILVER - COMMODITY EXCHANGE INC.,2011-08-30,112375,36537,9694,  -10168,   -2219,   -2051
279,SILVER - COMMODITY EXCHANGE INC.,2011-08-23,122543,38756,11745,    6536,    6059,     976
280,SILVER - COMMODITY EXCHANGE INC.,2011-08-16,116007,32697,10769,      68,     596,   -2944
281,SILVER - COMMODITY EXCHANGE INC.,2011-08-09,115939,32101,13713,   -4446,   -6164,     299
282,SILVER - COMMODITY EXCHANGE INC.,2011-08-02,120385,38265,13414,     822,     907,     -31
283,SILVER - COMMODITY EXCHANGE INC.,2011-07-26,119563,37358,13445,    3564,    3110,     -54
284,SILVER - COMMODITY EXCHANGE INC.,2011-07-19,115999,34248,13499,    3204,    4281,    4035
285,SILVER - COMMODITY EXCHANGE INC.,2011-07-12,112795,29967,9464,    1544,    1836,     168
286,SILVER - COMMODITY EXCHANGE INC.,2011-07-05,111251,28131,9296,   -3079,     692,   -2145
287,SILVER - COMMODITY EXCHANGE INC.,2011-06-28,114330,27439,11441,   -5908,   -3015,     310
288,SILVER - COMMODITY EXCHANGE INC.,2011-06-21,120238,30454,11131,    1392,    1193,   -1543
289,SILVER - COMMODITY EXCHANGE INC.,2011-06-14,118846,29261,12674,   -2345,     500,     912
290,SILVER - COMMODITY EXCHANGE INC.,2011-06-07,121191,28761,11762,     338,    -109,     474
291,SILVER - COMMODITY EXCHANGE INC.,2011-05-31,120853,28870,11288,    -542,   -2884,   -2883
292,SILVER - COMMODITY EXCHANGE INC.,2011-05-24,121395,31754,14171,    1168,     818,     670
293,SILVER - COMMODITY EXCHANGE INC.,2011-05-17,120227,30936,13501,   -3310,   -3303,    2748
294,SILVER - COMMODITY EXCHANGE INC.,2011-05-10,123537,34239,10753,   -8370,   -8512,   -8644
295,SILVER - COMMODITY EXCHANGE INC.,2011-05-03,131907,42751,19397,  -11434,    -327,    1314
296,SILVER - COMMODITY EXCHANGE INC.,2011-04-26,143341,43078,18083,   -1640,   -5247,    3524
297,SILVER - COMMODITY EXCHANGE INC.,2011-04-19,144981,48325,14559,     311,    2020,     976
298,SILVER - COMMODITY EXCHANGE INC.,2011-04-12,144670,46305,13583,    1657,   -2585,    1478
299,SILVER - COMMODITY EXCHANGE INC.,2011-04-05,143013,48890,12105,    4527,    1126,    1480
300,SILVER - COMMODITY EXCHANGE INC.,2011-03-29,138486,47764,10625,    2498,     212,    -152
301,SILVER - COMMODITY EXCHANGE INC.,2011-03-22,135988,47552,10777,    1074,     262,   -1559
302,SILVER - COMMODITY EXCHANGE INC.,2011-03-15,134914,47290,12336,    1429,   -3104,     436
303,SILVER - COMMODITY EXCHANGE INC.,2011-03-08,133485,50394,11900,   -2317,     644,      52
304,SILVER - COMMODITY EXCHANGE INC.,2011-03-01,135802,49750,11848,   -9268,   -1187,     134
305,SILVER - COMMODITY EXCHANGE INC.,2011-02-22,145070,50937,11714,   -2043,     219,    1933
306,SILVER - COMMODITY EXCHANGE INC.,2011-02-15,147113,50718,9781,   11316,    5803,    1929
307,SILVER - COMMODITY EXCHANGE INC.,2011-02-08,135797,44915,7852,   10510,    7032,     649
308,SILVER - COMMODITY EXCHANGE INC.,2011-02-01,125287,37883,7203,      58,    -816,   -3270
309,SILVER - COMMODITY EXCHANGE INC.,2011-01-25,125229,38699,10473,  -10446,   -1311,     116
310,SILVER - COMMODITY EXCHANGE INC.,2011-01-18,135675,40010,10357,    -656,    1440,    1056
311,SILVER - COMMODITY EXCHANGE INC.,2011-01-11,136331,38570,9301,    -600,   -1913,   -1147
312,SILVER - COMMODITY EXCHANGE INC.,2011-01-04,136931,40483,10448,    -987,   -1056,    1028
313,SILVER - COMMODITY EXCHANGE INC.,2010-12-28,137918,41539,9420,    4783,    2359,     535
314,SILVER - COMMODITY EXCHANGE INC.,2010-12-21,133135,39180,8885,    2990,    -270,    -333
315,SILVER - COMMODITY EXCHANGE INC.,2010-12-14,130145,39450,9218,   -7530,   -3156,    -419
316,SILVER - COMMODITY EXCHANGE INC.,2010-12-07,137675,42606,9637,    4536,    1788,    2853
317,SILVER - COMMODITY EXCHANGE INC.,2010-11-30,133139,40818,6784,  -14546,     511,   -3097
318,SILVER - COMMODITY EXCHANGE INC.,2010-11-23,147685,40307,9881,     992,      64,   -2258
319,SILVER - COMMODITY EXCHANGE INC.,2010-11-16,146693,40243,12139,   -9725,   -5761,   -1282
320,SILVER - COMMODITY EXCHANGE INC.,2010-11-09,156418,46004,13421,   -2215,   -6621,     587
321,SILVER - COMMODITY EXCHANGE INC.,2010-11-02,158633,52625,12834,    5653,    -393,     325
322,SILVER - COMMODITY EXCHANGE INC.,2010-10-26,152980,53018,12509,    1876,   -3260,    -472
323,SILVER - COMMODITY EXCHANGE INC.,2010-10-19,151104,56278,12981,   -2866,   -3337,   -1282
324,SILVER - COMMODITY EXCHANGE INC.,2010-10-12,153970,59615,14263,   -2126,   -4066,    -935
325,SILVER - COMMODITY EXCHANGE INC.,2010-10-05,156096,63681,15198,    1877,   -2385,     613
326,SILVER - COMMODITY EXCHANGE INC.,2010-09-28,154219,66066,14585,    7452,    4053,    1943
327,SILVER - COMMODITY EXCHANGE INC.,2010-09-21,146767,62013,12642,    1969,    1317,     737
328,SILVER - COMMODITY EXCHANGE INC.,2010-09-14,144798,60696,11905,    5276,    1584,      -4
329,SILVER - COMMODITY EXCHANGE INC.,2010-09-07,139522,59112,11909,    8709,    4640,    2250
330,SILVER - COMMODITY EXCHANGE INC.,2010-08-31,130813,54472,9659,    6628,   12217,    2211
331,SILVER - COMMODITY EXCHANGE INC.,2010-08-24,124185,42255,7448,   -4663,    -996,    -231
332,SILVER - COMMODITY EXCHANGE INC.,2010-08-17,128848,43251,7679,    5478,     654,     816
333,SILVER - COMMODITY EXCHANGE INC.,2010-08-10,123370,42597,6863,     -94,    -588,     133
334,SILVER - COMMODITY EXCHANGE INC.,2010-08-03,123464,43185,6730,    6094,    4705,   -1413
335,SILVER - COMMODITY EXCHANGE INC.,2010-07-27,117370,38480,8143,    -161,     653,    1950
336,SILVER - COMMODITY EXCHANGE INC.,2010-07-20,117531,37827,6193,    -428,   -1349,    2199
337,SILVER - COMMODITY EXCHANGE INC.,2010-07-13,117959,39176,3994,   -1003,    -700,    -838
338,SILVER - COMMODITY EXCHANGE INC.,2010-07-06,118962,39876,4832,   -9103,   -7579,    -713
339,SILVER - COMMODITY EXCHANGE INC.,2010-06-29,128065,47455,5545,  -10954,     789,   -1070
340,SILVER - COMMODITY EXCHANGE INC.,2010-06-22,139019,46666,6615,    7949,    3202,     667
341,SILVER - COMMODITY EXCHANGE INC.,2010-06-15,131070,43464,5948,    8534,    2986,     473
342,SILVER - COMMODITY EXCHANGE INC.,2010-06-08,122536,40478,5475,     168,   -1319,    -437
343,SILVER - COMMODITY EXCHANGE INC.,2010-06-01,122368,41797,5912,    2248,    -349,   -1402
344,SILVER - COMMODITY EXCHANGE INC.,2010-05-25,120120,42146,7314,   -5108,   -9518,   -1560
345,SILVER - COMMODITY EXCHANGE INC.,2010-05-18,125228,51664,8874,    2559,    3816,   -1384
346,SILVER - COMMODITY EXCHANGE INC.,2010-05-11,122669,47848,10258,    -779,     561,    1631
347,SILVER - COMMODITY EXCHANGE INC.,2010-05-04,123448,47287,8627,    -709,   -1175,     732
348,SILVER - COMMODITY EXCHANGE INC.,2010-04-27,124157,48462,7895,   -2522,    1502,    -203
349,SILVER - COMMODITY EXCHANGE INC.,2010-04-20,126679,46960,8098,    3018,    -535,     208
350,SILVER - COMMODITY EXCHANGE INC.,2010-04-13,123661,47495,7890,    4949,    3443,    1361
351,SILVER - COMMODITY EXCHANGE INC.,2010-04-06,118712,44052,6529,    5307,    5318,     776
352,SILVER - COMMODITY EXCHANGE INC.,2010-03-30,113405,38734,5753,     885,     629,     -51
353,SILVER - COMMODITY EXCHANGE INC.,2010-03-23,112520,38105,5804,   -1672,   -2021,     534
354,SILVER - COMMODITY EXCHANGE INC.,2010-03-16,114192,40126,5270,    2062,      75,     384
355,SILVER - COMMODITY EXCHANGE INC.,2010-03-09,112130,40051,4886,    3882,    3330,    -777
356,SILVER - COMMODITY EXCHANGE INC.,2010-03-02,108248,36721,5663,   -9128,    1226,   -2016
357,SILVER - COMMODITY EXCHANGE INC.,2010-02-23,117376,35495,7679,   -2790,     880,   -1558
358,SILVER - COMMODITY EXCHANGE INC.,2010-02-16,120166,34615,9237,    1573,    2177,     164
359,SILVER - COMMODITY EXCHANGE INC.,2010-02-09,118593,32438,9073,   -3668,   -4486,    3026
360,SILVER - COMMODITY EXCHANGE INC.,2010-02-02,122261,36924,6047,   -2634,   -4549,    1643
361,SILVER - COMMODITY EXCHANGE INC.,2010-01-26,124895,41473,4404,   -6490,   -7884,    -652
362,SILVER - COMMODITY EXCHANGE INC.,2010-01-19,131385,49357,5056,    2710,     654,     881
363,SILVER - COMMODITY EXCHANGE INC.,2010-01-12,128675,48703,4175,    3284,    4391,    -638
