Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions,Close,Change Price,signal,Interpretation
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-04-21,25851,24611,-4075,-1982,105480,-3891,1240,-2093.0,0.04164806380867958,0.0006116479635238647,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-04-14,29926,26593,3160,5583,109371,7234,3333,-2423.0,0.04239947348833084,-0.0004050806164741516,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-04-07,26766,21010,-1669,240,102137,-575,5756,-1909.0,0.040745809674263,-0.00038683414459228516,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-03-31,28435,20770,-12348,1966,102712,-7611,7665,-14314.0,0.041958630084991455,-0.00014486163854599,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-03-24,40783,18804,-14780,-2914,110323,-11641,21979,-11866.0,0.039469216018915176,-0.0009043216705322266,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-03-17,55563,21718,-73813,4889,121964,-102586,33845,-78702.0,0.044245850294828415,0.0006929822266101837,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-03-10,129376,16829,-17982,652,224550,-9342,112547,-18634.0,0.04804867506027222,-5.276128649711609e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-03-03,147358,16177,-29478,-10058,233892,-42375,131181,-19420.0,0.051533106714487076,7.05420970916748e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-02-25,176836,26235,-15509,-12828,276267,-25530,150601,-2681.0,0.05253038927912712,6.449222564697266e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-02-18,192345,39063,-1595,1449,301797,-648,153282,-3044.0,0.05390835925936699,0.00011295825242996216,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-02-11,193940,37614,-12598,-3752,302445,-6449,156326,-8846.0,0.053468216210603714,-0.0001740977168083191,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-02-04,206538,41366,-798,4396,308894,2966,165172,-5194.0,0.053150780498981476,-0.0004073828458786011,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-01-28,207336,36970,-4345,-4740,305928,5948,170366,395.0,0.05293245613574982,-0.0004747919738292694,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-01-21,211681,41710,4554,223,299980,5941,169971,4331.0,0.053608667105436325,0.0003020577132701874,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-01-14,207127,41487,3547,-4775,294039,10707,165640,8322.0,0.0532195158302784,1.0479241609573364e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2020-01-07,203580,46262,10511,3459,283332,5386,157318,7052.0,0.05307447165250778,0.00034353509545326233,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-12-31,193069,42803,-9028,-1078,277946,2959,150266,-7950.0,0.052860550582408905,-8.344650268554688e-07,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-12-24,202097,43881,-9553,-15509,274987,-13799,158216,5956.0,0.05281364917755127,7.8544020652771e-05,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-12-17,211650,59390,14977,-6642,288786,-16062,152260,21619.0,0.05280893296003342,-5.203858017921448e-05,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-12-10,196673,66032,621,107,304848,13868,130641,514.0,0.05200207978487015,5.375966429710388e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-12-03,196052,65925,-6482,-960,290980,-1417,130127,-5522.0,0.051088180392980576,-6.402283906936646e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-11-26,202534,66885,-11404,-7232,292397,-2015,135649,-4172.0,0.05142670497298241,0.00016384199261665344,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-11-19,213938,74117,-5374,-3158,294412,-3755,139821,-2216.0,0.051767364144325256,0.00011057406663894653,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-11-12,219312,77275,-12969,-14604,298167,-867,142037,1635.0,0.05232451856136322,0.0005075559020042419,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-11-05,232281,91879,17071,5576,299034,18407,140402,11495.0,0.05217055603861809,5.1390379667282104e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-10-29,215210,86303,22434,6477,280627,26242,128907,15957.0,0.05232807248830795,-8.217990398406982e-06,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-10-22,192776,79826,21117,21209,254385,21285,112950,-92.0,0.05229633301496506,5.161389708518982e-05,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-10-15,171659,58617,11965,14319,233100,14834,113042,-2354.0,0.05189588665962219,-0.0001044347882270813,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-10-08,159694,44298,-2613,-2197,218266,2652,115396,-416.0,0.051096271723508835,0.0001413784921169281,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-10-01,162307,46495,12436,-10962,215614,16346,115812,23398.0,0.050671860575675964,0.0001765042543411255,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-09-24,149871,57457,14364,3576,199268,11330,92414,10788.0,0.05134524405002594,-0.0001064687967300415,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-09-17,135507,53881,8700,22711,187938,-9013,81626,-14011.0,0.051486942917108536,-0.00018516555428504944,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-09-10,126807,31170,536,-3310,196951,9082,95637,3846.0,0.05113650858402252,-0.00016658753156661987,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-09-03,126271,34480,-3720,-2197,187869,-1267,91791,-1523.0,0.04969079792499542,-0.00040764734148979187,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-08-27,129991,36677,-17551,-506,189136,-8389,93314,-17045.0,0.050160765647888184,9.568408131599426e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-08-20,147542,37183,-5165,2038,197525,-14974,110359,-7203.0,0.05031927675008774,-0.0003123544156551361,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-08-13,152707,35145,-8459,-3952,212499,-9895,117562,-4507.0,0.051060788333415985,-0.0005421526730060577,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-08-06,161166,39097,-3012,3187,222394,1183,122069,-6199.0,0.05081223323941231,-0.00021893158555030823,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-07-30,164178,35910,1743,-1770,221211,-157,128268,3513.0,0.05250253528356552,2.397596836090088e-05,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-07-23,162435,37680,-6038,-2672,221368,-4357,124755,-3366.0,0.05252321437001228,0.00035401806235313416,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-07-16,168473,40352,-12741,-14480,225725,-18509,128121,1739.0,0.052725933492183685,0.00034138932824134827,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-07-09,181214,54832,12682,-5433,244234,8182,126382,18115.0,0.05281702056527138,0.0006262063980102539,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-07-02,168532,60265,14327,21095,236052,19846,108267,-6768.0,0.0523562952876091,-0.00015367940068244934,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-06-25,154205,39170,10565,12336,216206,13462,115035,-1771.0,0.052097171545028687,6.262212991714478e-05,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-06-18,143640,26834,1742,-13749,202744,-19259,116806,15491.0,0.05217518284916878,-0.000118304044008255,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-06-11,141898,40583,-30456,-7542,222003,-20087,101315,-22914.0,0.05207129567861557,-0.0002680085599422455,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-06-04,172354,48125,-41404,-23166,242090,-32909,124229,-18238.0,0.05049660801887512,-0.0006102360785007477,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-05-28,213758,71291,-4402,-384,274999,3449,142467,-4018.0,0.05248517543077469,0.00035625696182250977,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-05-21,218160,71675,3801,5523,271550,6037,146485,-1722.0,0.05250363424420357,-0.00017563626170158386,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-05-14,214359,66152,-1126,-4644,265513,1844,148207,3518.0,0.0520651675760746,-0.00017215684056282043,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-05-07,215485,70796,3068,3118,263669,5118,144689,-50.0,0.052652087062597275,0.00013091415166854858,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-04-30,212417,67678,5028,10994,258551,6247,144739,-5966.0,0.05263601243495941,-0.0001674555242061615,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-04-23,207389,56684,4851,10176,252304,7944,150705,-5325.0,0.053117748349905014,0.00021721422672271729,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-04-16,202538,46508,7895,7302,244360,9684,156030,593.0,0.05302423611283302,1.8268823623657227e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-04-09,194643,39206,7945,-4769,234676,7349,155437,12714.0,0.05267621576786041,-0.0001951754093170166,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-04-02,186698,43975,-11914,-8303,227327,-12199,142723,-3611.0,0.05219397321343422,0.0001542791724205017,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-03-26,198612,52278,14998,-8449,239526,4518,146334,23447.0,0.05258839949965477,0.00019973888993263245,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-03-19,183614,60727,6362,-41429,235008,-38056,122887,47791.0,0.05247586593031883,-0.00017095357179641724,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-03-12,177252,102156,310,13632,273064,26423,75096,-13322.0,0.05156959965825081,-0.00016238540410995483,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-03-05,176942,88524,8411,11940,246641,10057,88418,-3529.0,0.051831141114234924,-9.694695472717285e-05,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-02-26,168531,76584,-1184,1964,236584,2792,91947,-3148.0,0.052298519760370255,0.00017449259757995605,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-02-19,169715,74620,10980,-7704,233792,10257,95095,18684.0,0.051966406404972076,-0.00027719512581825256,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-02-12,158735,82324,1819,-3125,223535,1342,76411,4944.0,0.051844630390405655,-0.00012312829494476318,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-02-05,156916,85449,7610,5586,222193,8052,71467,2024.0,0.052369456738233566,-0.00019461661577224731,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-01-29,149306,79863,7398,1474,214141,7942,69443,5924.0,0.052527766674757004,0.0001466795802116394,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-01-22,141908,78389,17410,11156,206199,16012,63519,6254.0,0.0522269569337368,1.4178454875946045e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-01-15,124498,67233,32100,5817,190187,29694,57265,26283.0,0.052704811096191406,-5.777925252914429e-06,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2019-01-08,92398,61416,10138,-11072,160493,9258,30982,21210.0,0.05164057016372681,-9.810924530029297e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-12-31,82260,72488,17702,11359,151235,14157,9772,6343.0,0.050902578979730606,-3.0256807804107666e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-12-24,64558,61129,14562,10364,137078,14468,3429,4198.0,0.050198860466480255,-0.00015259534120559692,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-12-18,49996,50765,-16199,-3988,122610,-61510,-769,-12211.0,0.049826353788375854,-3.34419310092926e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-12-11,66195,54753,1881,-5038,184120,-7392,11442,6919.0,0.04922446981072426,-0.0003312155604362488,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-12-04,64314,59791,-13553,-2749,191512,1600,4523,-10804.0,0.0491783507168293,0.0003964342176914215,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-11-27,77867,62540,5256,4012,189912,3882,15327,1244.0,0.048558540642261505,-0.00032830610871315,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-11-20,72611,58528,2723,-4073,186030,-216,14083,6796.0,0.049096859991550446,-1.210719347000122e-06,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-11-13,69888,62601,2300,2049,186246,2161,7287,251.0,0.049133241176605225,0.000246632844209671,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-11-06,67588,60552,-26056,717,184085,-8245,7036,-26773.0,0.050330668687820435,-0.00041375309228897095,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-10-30,93644,59835,-17927,6291,192330,-13940,33809,-24218.0,0.04986809939146042,2.162531018257141e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-10-23,111571,53544,-15753,-5205,206270,-8868,58027,-10548.0,0.05156632885336876,-0.00027676671743392944,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-10-16,127324,58749,511,6385,215138,6544,68575,-5874.0,0.05313467979431152,-0.00019270926713943481,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-10-09,126813,52364,-8836,-9456,208594,-8624,74449,620.0,0.05278894677758217,0.00013425201177597046,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-10-02,135649,61820,18334,-4097,217218,12568,73829,22431.0,0.05345335602760315,0.00022534281015396118,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-09-25,117315,65917,5081,-5804,204650,4458,51398,10885.0,0.05272629112005234,2.619996666908264e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-09-18,112234,71721,10952,-15025,200192,-44851,40513,25977.0,0.05285540595650673,-0.00036920979619026184,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-09-11,101282,86746,-2574,-4591,245043,24613,14536,2017.0,0.05190572142601013,-0.00017267465591430664,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-09-04,103856,91337,-2122,4696,220430,3411,12519,-6818.0,0.05212514102458954,0.0004938468337059021,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-08-28,105978,86641,-7625,-1292,217019,3823,19337,-6333.0,0.05319106578826904,0.0007415413856506348,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-08-21,113603,87933,623,6027,213196,5842,25670,-5404.0,0.05262177437543869,-0.00016602873802185059,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-08-14,112980,81906,4914,7100,207354,8878,31074,-2186.0,0.0522720031440258,-0.0006946586072444916,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-08-07,108066,74806,10591,3846,198476,8709,33260,6745.0,0.05397647246718407,-0.00024375692009925842,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-07-31,97475,70960,9980,3049,189767,12252,26515,6931.0,0.053964849561452866,0.0003883242607116699,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-07-24,87495,67911,11617,21111,177515,22507,19584,-9494.0,0.05290333926677704,-0.00013383477926254272,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-07-17,75878,46800,9393,8447,155008,13122,29078,946.0,0.05309828370809555,0.000145643949508667,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-07-10,66485,38353,5670,-16547,141886,-3347,28132,22217.0,0.052143897861242294,-0.0004547387361526489,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-07-03,60815,54900,-960,-19385,145233,-5268,5915,18425.0,0.050090160220861435,-0.0012095198035240173,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-06-26,61775,74285,1459,2704,150501,-6002,-12510,-1245.0,0.05023661628365517,4.2341649532318115e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-06-19,60316,71581,-4607,-15042,156503,-57775,-11265,10435.0,0.04866250976920128,-9.324029088020325e-05,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-06-12,64923,86623,-5063,5527,214278,12180,-21700,-10590.0,0.04863458126783371,0.0003071911633014679,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-06-05,69986,81096,-3246,26200,202098,20427,-11110,-29446.0,0.0498422235250473,0.0008079521358013153,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-05-29,73232,54896,-5537,7667,181671,-2614,18336,-13204.0,0.051056746393442154,0.0006531365215778351,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-05-22,78769,47229,-7519,13719,184285,931,31540,-21238.0,0.05044492334127426,-0.00015611574053764343,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-05-15,86288,33510,-23623,-213,183354,-16402,52778,-23410.0,0.051081396639347076,0.00024100393056869507,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-05-08,109911,33723,-19938,-10085,199756,-17149,76188,-9853.0,0.05147978663444519,0.000325225293636322,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-05-01,129849,43808,-10890,-8148,216905,-15288,86041,-2742.0,0.0534842312335968,0.0006733722984790802,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-04-24,140739,51956,-14885,-1827,232193,3370,88783,-13058.0,0.052835412323474884,-0.0003231912851333618,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-04-17,155624,53783,8105,8482,228823,5324,101841,-377.0,0.05558056756854057,0.00010022148489952087,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-04-10,147519,45301,10707,7569,223499,13554,102218,3138.0,0.054551802575588226,-0.0002769678831100464,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-04-03,136812,37732,6548,-2745,209945,9998,99080,9293.0,0.05487491935491562,0.0,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-03-27,130264,40477,24394,1452,199947,17410,89787,22942.0,0.05440542474389076,-0.00017510727047920227,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-03-20,105870,39025,-8107,11988,182537,-13686,66845,-20095.0,0.05335069075226784,-0.0008688047528266907,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-03-13,113977,27037,-166,-3811,196223,4161,86940,3645.0,0.05376465246081352,-7.839500904083252e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-03-06,114143,30848,-6001,3211,192062,2840,83295,-9212.0,0.053050536662340164,-0.00043026357889175415,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-02-27,120144,27637,-6921,-4607,189222,-7225,92507,-2314.0,0.05310956388711929,-1.1004507541656494e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-02-20,127065,32244,4303,6260,196447,-70,94821,-1957.0,0.05346621572971344,0.00038230791687965393,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-02-13,122762,25984,-4888,-8811,196517,-4799,96778,3923.0,0.05366447940468788,-0.00022906064987182617,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-02-06,127650,34795,16727,3917,201316,12487,92855,12810.0,0.05370194464921951,0.0004481375217437744,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-01-30,110923,30878,12959,-5931,188829,9846,80045,18890.0,0.053287919610738754,-0.0005128383636474609,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-01-23,97964,36809,15174,814,178983,6472,61155,14360.0,0.053552400320768356,-0.00039949268102645874,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-01-16,82790,35995,4087,-12911,172511,-11739,46795,16998.0,0.05332622304558754,-0.00010157003998756409,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-01-09,78703,48906,-15101,-9840,184250,-9552,29797,-5261.0,0.051962412893772125,4.941970109939575e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2018-01-02,93804,58746,6228,7554,193802,9259,35058,-1326.0,0.05128888785839081,-0.0003877580165863037,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-12-26,87576,51192,-14697,2813,184543,2618,36384,-17510.0,0.05031401291489601,-0.0004280880093574524,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-12-19,102273,48379,-10110,22172,181925,-29553,53894,-32282.0,0.05203089490532875,1.255422830581665e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-12-12,112383,26207,-8620,1727,211478,32182,86176,-10347.0,0.0521659292280674,-0.0004306323826313019,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-12-05,121003,24480,8037,1080,179296,7811,96523,6957.0,0.05327608063817024,0.00022906064987182617,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-11-28,112966,23400,2922,-6258,171485,-8045,89566,9180.0,0.053956203162670135,5.075335502624512e-05,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-11-21,110044,29658,17083,-770,179530,1791,80386,17853.0,0.05318724364042282,-0.0004979781806468964,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-11-14,92961,30428,4230,-1328,177739,310,62533,5558.0,0.05219890549778938,0.00021291151642799377,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-11-07,88731,31756,1511,-218,177429,123,56975,1729.0,0.05226435512304306,-0.0001179911196231842,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-10-31,87220,31974,-316,139,177306,-3221,55246,-455.0,0.05216171219944954,-0.0001524314284324646,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-10-24,87536,31835,-11400,3966,180527,-8380,55701,-15366.0,0.05199112743139267,-0.0003771260380744934,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-10-17,98936,27869,-3537,8145,188907,832,71067,-11682.0,0.0532086156308651,0.0002462714910507202,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-10-10,102473,19724,-14979,-8612,188075,-16269,82749,-6367.0,0.05315648391842842,-0.00034400075674057007,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-10-03,117452,28336,-17169,-22558,204344,-15582,89116,5389.0,0.0549115389585495,0.0001596212387084961,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2017-09-26,134621,50894,-1717,-8492,219926,1545,83727,6775.0,0.05571527034044266,0.0008338429033756256,1,Market is Strong (Bullish)
